339,404,556,390,558,437,342,451
559,377,692,374,693,413,560,416
276,570,462,544,466,568,279,594
303,321,400,311,403,338,306,348
397,355,490,350,492,389,399,394
490,302,570,290,573,312,493,323
494,350,576,345,578,378,496,384
566,290,633,281,637,305,569,314
424,305,492,301,494,325,426,330
240,329,301,322,304,345,243,352
631,284,704,274,707,296,634,305
701,273,753,266,756,290,703,296
580,337,623,336,624,371,581,372
12,109,60,109,60,124,12,125
43,50,96,48,96,64,43,65
189,50,243,51,242,65,189,64
349,49,400,48,401,64,349,65
199,13,254,14,254,31,199,31
110,15,194,14,195,30,111,31
14,13,58,12,58,30,14,32
102,49,127,49,127,63,103,64
67,14,109,14,109,31,68,32
138,49,161,49,161,64,138,64
164,50,187,50,187,64,164,64
